network,station,channel,start_time,end_time,npts,latitude,longitude,elevation,units_type,units,source,source_file,sensor_sensitivity,scaling_factor,sampling_rate,low_filter_corner,high_filter_corner,instrument_period,instrument_damping,mean,standard_deviation,rms,pga,skewness,kurtosis,zero_crossing_rate,cav,horizontal_orientation
--,58389,HNZ,2018-01-04T10:39:22.000000Z,2018-01-04T10:40:29.990000Z,6800,37.7860,-122.3920,0.0000,acc,cm/s^2,unknown,CHAN001.V2,1251.0000,980.6650,100.0000,0.1250,40.0000,0.0046,0.7000,0.0000,0.3150,0.3150,3.9939,3.3440,13.5220,25.0735,7.0677,0.0000
--,58389,HNZ,2018-01-04T10:39:22.000000Z,2018-01-04T10:40:29.990000Z,6800,37.7860,-122.3920,0.0000,acc,cm/s^2,unknown,CHAN002.V2,1251.0000,980.6650,100.0000,0.1250,40.0000,0.0048,0.7000,0.0000,0.3593,0.3593,5.5012,4.1165,21.2449,24.6765,7.5839,0.0000
--,58389,HNZ,2018-01-04T10:39:22.000000Z,2018-01-04T10:40:29.990000Z,6800,37.7860,-122.3920,0.0000,acc,cm/s^2,unknown,CHAN003.V2,1253.0000,980.6650,100.0000,0.1250,40.0000,0.0047,0.7000,-0.0000,0.3219,0.3219,3.4935,2.9960,10.3796,26.9118,7.4497,0.0000
--,58389,HN1,2018-01-04T10:39:22.000000Z,2018-01-04T10:40:29.990000Z,6800,37.7860,-122.3920,0.0000,acc,cm/s^2,unknown,CHAN004.V2,1251.0000,980.6650,100.0000,0.1250,40.0000,0.0048,0.7000,0.0000,0.7926,0.7926,20.8822,6.6001,51.1955,21.1324,12.4045,360.0000
--,58389,HN2,2018-01-04T10:39:22.000000Z,2018-01-04T10:40:29.990000Z,6800,37.7860,-122.3920,0.0000,acc,cm/s^2,unknown,CHAN005.V2,1251.0000,980.6650,100.0000,0.1250,40.0000,0.0048,0.7000,-0.0000,0.7112,0.7112,13.6656,7.1369,59.9601,23.2647,11.6069,90.0000
--,58389,HN2,2018-01-04T10:39:22.000000Z,2018-01-04T10:40:29.990000Z,6800,37.7860,-122.3920,0.0000,acc,cm/s^2,unknown,CHAN006.V2,1251.0000,980.6650,100.0000,0.1250,40.0000,0.0048,0.7000,0.0000,0.7051,0.7051,12.5938,7.6720,67.7770,22.0294,11.1332,90.0000
--,58389,HN1,2018-01-04T10:39:22.000000Z,2018-01-04T10:40:29.990000Z,6800,37.7860,-122.3920,0.0000,acc,cm/s^2,unknown,CHAN007.V2,1249.0000,980.6650,100.0000,0.1250,40.0000,0.0047,0.7000,-0.0000,1.1123,1.1123,24.0708,5.5525,34.9762,22.2500,19.8348,360.0000
--,58389,HN2,2018-01-04T10:39:22.000000Z,2018-01-04T10:40:29.990000Z,6800,37.7860,-122.3920,0.0000,acc,cm/s^2,unknown,CHAN008.V2,1249.0000,980.6650,100.0000,0.1250,40.0000,0.0049,0.7000,-0.0000,1.0171,1.0171,18.9587,6.4592,49.2522,21.6912,17.7672,90.0000
--,58389,HN2,2018-01-04T10:39:22.000000Z,2018-01-04T10:40:29.990000Z,6800,37.7860,-122.3920,0.0000,acc,cm/s^2,unknown,CHAN009.V2,1252.0000,980.6650,100.0000,0.1250,40.0000,0.0050,0.7000,-0.0000,1.1063,1.1063,17.9130,6.6583,52.0791,25.0000,19.3394,90.0000
--,58389,HN1,2018-01-04T10:39:22.000000Z,2018-01-04T10:40:29.990000Z,6800,37.7860,-122.3920,0.0000,acc,cm/s^2,unknown,CHAN010.V2,1250.0000,980.6650,100.0000,0.1250,40.0000,0.0048,0.7000,0.0000,1.3895,1.3895,26.8145,5.2040,30.8889,19.5294,26.7475,360.0000
